fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220911 001214	-1.20244588325731	2663.39042260661	519.856568395335	16	5	19453333.3333333	1
20220911 001434	-1.01877492940548	3211.04287498019	306.494605469925	8	5	18925333.3333333	2
20220911 001559	0.0779079388594255	1905.32314631855	701.830148708541	11	5	-1196000	3
20220911 001726	-0.623436636736733	4933.49890561949	381.141185268643	4	5	17680000	4
20220911 002008	-1.73846126575663	2351.60416308208	882.41223160876	9	5	19146666.6666667	5
20220911 002152	-0.422236277317279	2163.57077297725	600.841278923326	5	5	19581333.3333333	6
20220911 002512	-1.63988316397154	1550.61309323501	438.799608101544	17	5	20416000	7
20220911 002805	-0.907803052167583	3543.17929685058	733.244047156768	15	5	18866666.6666667	8
20220911 003126	-0.268565817527997	3019.09396288975	138.012501860794	14	5	19229333.3333333	9
20220911 003403	-1.49473086916842	3910.30142253003	426.625693129608	10	5	18493333.3333333	10
20220911 003554	-0.710039141740708	4589.84617091628	888.285830375389	6	5	17720000	11
20220911 003843	-1.97090089312405	4090.95691473049	785.540617005609	20	5	18530666.6666667	12
20220911 004308	-1.174999968661	4152.21573480715	578.734661638737	17	5	18442666.6666667	14
20220911 004421	-1.74692174594384	3041.59259624624	330.477552418597	3	5	18442666.6666667	15
20220911 004717	-0.605908922641538	4024.50727131218	460.207194276154	13	5	18442666.6666667	16
20220911 005105	-0.432034580663274	1882.47837769917	100.176584053229	16	5	20453333.3333333	17
20220911 005311	-0.392529920775155	3539.92846006759	100.633443900014	7	5	18546666.6666667	18
20220911 005727	-0.791622790036435	274.133710096676	135.845775353037	19	5	19440000	19
20220911 010114	-0.37350193277303	561.939016214982	280.04960981733	20	5	20901333.3333333	20
20220911 010543	-1.33776537554135	202.929512948603	100.251846803366	20	5	19173333.3333333	21
20220911 011008	-1.84640437862302	202.139219996631	100.756695269581	20	5	19173333.3333333	22
20220911 011334	-0.491644998091085	901.49965676959	450.05569709745	20	5	20173333.3333333	23
20220911 011448	-0.850588793242063	1027.44677757108	511.694922475219	3	5	18565333.3333333	24
