Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.0931163366131852	0.00567415142444343	0.00321507957677603
ctrx_quarter	0.0479281406837697	0.00542473947151527	0.00386769805281408
ctrx_quarter_normalizado_min3	0.0296625825316476	0.0080494659175392	0.00369965324086423
mconsumo_tarjeta_total_rank	0.0165659037308419	0.00482253116242045	0.00560505023561839
mfinanciamiento_total_rank	0.0153585634093071	0.00373014748429629	0.00293411576420379
cpayroll_trx	0.0152817240693631	0.00341738556871268	0.00171690228505379
financiamiento_total_saldo_total	0.0152719495195336	0.00182745234820411	0.00180581488396906
ctrx_quarter_normalizado_max3	0.0151521847201299	0.00184102729057436	0.00187783408909042
mpayroll_sobre_edad_rank	0.0147143659333505	0.00777890340978226	0.00337245487685605
mvolumen_total_rank	0.0118600078675986	0.00251080993773836	0.00227527340624166
mcuentas_saldo_rank	0.0116854039246351	0.0042334214262366	0.00514181559526985
mprestamos_personales_rank_ratioavg3	0.00988117340973134	0.00597787093321185	0.00155774873299547
mcaja_ahorro_rank	0.0082080535565338	0.00197301192572346	0.0029207788743665
foto_mes	0.0081028334943044	0.0102116884814913	0.00369965324086423
mpayroll_rank	0.00798655466936567	0.00778410298476627	0.00299635458344447
mtarjeta_visa_consumo_rank	0.00720545713528711	0.0041011077994404	0.00431403929936872
cpayroll_trx_min3	0.00668773341839249	0.005161025881297	0.0010518360451676
ccomisiones_mantenimiento_delta3	0.00656431603169641	0.00209693103068965	0.000914021516848937
mpasivos_margen_rank_max3	0.00599437548435842	0.00170259153699147	0.00248955276962746
ctrx_quarter_max3	0.00573516889691271	0.00161278293861224	0.00238374677691829
ctrx_quarter_normalizado_lag3	0.00522400917480495	0.00216226592798369	0.00239263803680982
mprestamos_rank	0.00435827400354283	0.00429787579410991	0.000985151595981151
cproductos_ratioavg3	0.0042945459291853	0.00403876875777569	0.00117720280963813
cdescubierto_preacordado_delta3	0.00413856388130161	0.0066410165835781	0.00072463768115942
ctarjeta_visa_transacciones_ratioavg3	0.00411573175168527	0.00495660874697956	0.00419934204676803
mcaja_ahorro_rank_max3	0.00401582218138803	0.00269330959677734	0.00223348448475149
mpasivos_margen_rank	0.00379769519532212	0.0016673538770386	0.00267449097537121
ctrx_quarter_normalizado_ratioavg3	0.00366763839468134	0.00310244851570238	0.00417089001511514
mrentabilidad_annual_rank_lag3	0.00366535586470386	0.00244541817606372	0.00421178981061616
mcuentas_saldo_rank_ratioavg3	0.00359651962038846	0.00330661922971789	0.00443229305592602
vm_status04	0.00353578707594432	0.000948750158388413	0.000438339112652263
mprestamos_personales_rank_min3	0.00346873433764878	0.000651263857805739	0.000361874277585134
mrentabilidad_annual_rank_lag2	0.00340923617403271	0.002268928400448	0.00381879612341069
mcuentas_saldo_rank_delta3	0.00337381364516286	0.00217631375392008	0.0038561394149551
mprestamos_personales_rank	0.00327981033796031	0.00166501996975716	0.000642838090157375
mcomisiones_otras_rank_lag3	0.00316831039948222	0.00177545772439135	0.00310304970214279
mpayroll_rank_ratioavg3	0.00307832210589945	0.0055961137288899	0.00259002400640171
numero_de_cliente	0.00302846745798045	0.00517948574588421	0.0049079754601227
mrentabilidad_annual_rank_delta3	0.00295690864575367	0.00237436696504839	0.00420378767671379
ctrx_quarter_ratioavg3	0.00294992778380452	0.00242688618583176	0.00384369165110696
mrentabilidad_annual_rank_delta1	0.00291193570193425	0.00246674203129151	0.00404730150262292
mcomisiones_mantenimiento_rank_max3	0.00290562633431015	0.00252566657473723	0.00206543967280164
mcuentas_saldo_rank_min3	0.00287393661185294	0.00356452925107515	0.00522005868231528
ctarjeta_visa_transacciones	0.0027231336392011	0.00229887064132393	0.00282564239352716
mrentabilidad_annual_rank_delta2	0.00271961064724474	0.00219851178969106	0.00397083666755579
mcomisiones_rank_lag3	0.00270904253371527	0.00186281995650345	0.00327465101804926
cdescubierto_preacordado	0.00269969351498205	0.0011217155403085	0.00043744998666311
vm_status01	0.00268404728295969	0.000729267461084741	0.000295189828398684
mactivos_margen_rank_ratioavg3	0.00267919778981366	0.00251764176122371	0.00416022050324531
mcuentas_saldo_rank_delta1	0.00266283629210087	0.00258716423439974	0.00404996888059038
ctrx_quarter_delta3	0.00263482492906437	0.00309983568905337	0.00400995821107851
mcaja_ahorro_rank_ratioavg3	0.00260768818404765	0.00194818555048004	0.00394949764381613
mvolumen_total_rank_delta3	0.00259323393280789	0.0014624235497721	0.00276429270027563
mactivos_margen_rank	0.00258276269282395	0.00302469774149793	0.00255356984084645
chomebanking_transacciones_ratioavg3	0.00258109723686648	0.00198840549807762	0.00446430159153552
financiamiento_corto_saldo_total	0.00256994753082916	0.00153152482882844	0.00169734151329243
mactivos_margen_rank_delta3	0.00252292393689822	0.00368922051132024	0.00402774073086156
mrentabilidad_annual_rank_lag1	0.00251657240674811	0.00234551838421456	0.00341335467235707
mcuentas_saldo_rank_delta2	0.00251225537975191	0.00293145824562922	0.00377789632790967
cliente_edad_lag3	0.00248135624248623	0.0035995951199848	0.00430248066150974
cdescubierto_preacordado_min3	0.00246151140032896	0.000924850479686603	0.000394771939183782
vm_mpagominimo_rank	0.00242113916159197	0.00145515218031724	0.00173913043478261
cpayroll_trx_avg3	0.00241414717820404	0.00202022517391834	0.000989597225926914
mtransferencias_recibidas_rank_ratioavg3	0.00235850805504816	0.00204729622476613	0.00416110962923446
mpasivos_margen_rank_ratioavg3	0.00235239272407122	0.00250515348315123	0.00353427580688184
mactivos_margen_rank_min3	0.00228912764522429	0.00275765824984998	0.00258913488041255
Master_fechaalta_lag2	0.00227249847670983	0.00242931597314318	0.00329065528585401
mactivos_margen_rank_delta2	0.00222760336546658	0.00363294366543398	0.00367475771316796
msaldo_total_rank	0.00221851898966275	0.00119958967440159	0.00197385969591891
cliente_antiguedad	0.00216512060183589	0.00311772741295321	0.00364986218547168
mactivos_margen_rank_lag1	0.00215382752497164	0.00164856440987457	0.00270116475504579
part_dolares_total_ratioavg3	0.00211612723800181	0.00215810617935178	0.00362674490975371
mprestamos_rank_delta3	0.0021089447423653	0.00193913035007765	0.000771761358584511
ccomisiones_mantenimiento_ratioavg3	0.00210738127764142	0.00396773224501084	0.00132835422779408
Master_Fvencimiento_lag3	0.00209694661554348	0.00280741802085005	0.00318662754512314
antiguedad_relativa_lag3	0.00207744979481235	0.00274950910614767	0.00361429714590558
mcaja_ahorro_dolares_rank_ratioavg3	0.00203547352998291	0.00328768946433908	0.00341602205032453
cliente_edad	0.00201386996249973	0.002682927840338	0.00323730772650485
antiguedad_relativa	0.00199088327086735	0.00271366617056328	0.00338490264070419
antiguedad_relativa_delta3	0.00195832185507629	0.00206309142950973	0.00337867875878012
Master_mlimitecompra_rank_delta2	0.00195742544054853	0.00352392528023907	0.00367031208322219
Master_fechaalta_ratioavg3	0.00195225558195438	0.00172635927883044	0.00296968080376989
