fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221122 055350	3181	736525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	92	1	1	1	0.1	50	0.5	FALSE	669989	0.28811702179737	0.548898441542406	0.371082415925048	6.01617521845037	0.0206885411694407	15928	45904000	1
20221122 060723	3181	736525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	260	1	1	1	0.1	50	0.5	FALSE	669989	0.252860215300025	0.58501318875642	0.425153112952103	8.16797571109782	0.00192300564003813	16087	43186000	2
20221122 064156	3181	736525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	993	1	1	1	0.1	50	0.5	FALSE	669989	0.0964311574073508	0.369283384276787	0.791689899827907	7.59458251448814	0.000468018271207049	15676	45288000	3
20221122 064738	3181	736525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	246	1	1	1	0.1	50	0.5	FALSE	669989	0.143938680044666	0.625767279876163	0.21206686211226	7.02094909391599	0.0124749071758853	20174	42932000	4
20221122 065843	3181	736525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	196	1	1	1	0.1	50	0.5	FALSE	669989	0.202305837242457	0.441122582246317	0.163984168702882	6.45744912099326	0.0207430283874371	16302	45956000	5
20221122 070635	3181	736525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	410	1	1	1	0.1	50	0.5	FALSE	669989	0.115916556601296	0.783167140308069	0.599000822142261	4.35098691034364	0.0194883575321235	16936	45808000	6
20221122 080230	3181	736525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1541	1	1	1	0.1	50	0.5	FALSE	669989	0.0351403646175459	0.513504429970635	0.509792722557177	6.64857387934171	0.0133385883844389	16522	47036000	7
20221122 082450	3181	736525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	644	1	1	1	0.1	50	0.5	FALSE	669989	0.165672079717333	0.280401375002111	0.888811612230347	8.57137343357317	5.11738040115741e-06	16449	43822000	8
20221122 083205	3181	736525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	17	1	1	1	0.1	50	0.5	FALSE	669989	0.279926739038929	0.464999668748351	0.544168301665195	7.30729356668598	0.0187949724617126	16890	44940000	9
20221122 090600	3181	736525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1048	1	1	1	0.1	50	0.5	FALSE	669989	0.022755720140558	0.324366382992594	0.661963217311859	5.08905931483605	0.0176845588168499	17173	46294000	10
20221122 092147	3181	736525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	427	1	1	1	0.1	50	0.5	FALSE	669989	0.186999705633207	0.732398255358567	0.876709295768524	8.76133300333458	8.05009328150435e-06	16523	44714000	11
20221122 093015	3181	736525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	188	1	1	1	0.1	50	0.5	FALSE	669989	0.243781450851966	0.230125066125765	0.715768942847353	5.46378917692346	0.0177290701206266	16136	45888000	12
20221122 102122	3181	736525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1873	1	1	1	0.1	50	0.5	FALSE	669989	0.0591648063928005	0.421674474416068	0.106950235793192	4.26183841117017	0.023601647640802	14996	45448000	13
20221122 102721	3181	736525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	309	1	1	1	0.1	50	0.5	FALSE	669989	0.218877582575224	0.72415718860866	0.278049968795676	5.73542182339588	0.0210089258295117	15108	45624000	14
20221122 104312	3181	736525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	879	1	1	1	0.1	50	0.5	FALSE	669989	0.0723285903285432	0.657845039697713	0.976149101689225	4.85792429046705	0.0194540490554529	16179	46602000	15
20221122 105210	3181	736525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	161	1	1	1	0.1	50	0.5	FALSE	669989	0.119405791978061	0.257764883799246	0.318014989506628	7.86882731501828	0.0186313323206411	15481	47598000	16
20221122 112036	3181	736525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	577	1	1	1	0.1	50	0.5	FALSE	669989	0.027102265543337	0.396214140503388	0.686350639995641	8.10806107499055	0.0172135315646725	14175	48370000	17
20221122 113341	3181	736525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	287	1	1	1	0.1	50	0.5	FALSE	669989	0.249891069050548	0.293294862583466	0.76454408684466	5.83796632804908	0.0119489907141568	17107	43306000	18
20221122 114109	3181	736525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	215	1	1	1	0.1	50	0.5	FALSE	669989	0.0811395512376889	0.704568738593534	0.821904996018775	5.52164220678154	0.0183146230949761	17024	46592000	19
20221122 121944	3181	736525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1310	1	1	1	0.1	50	0.5	FALSE	669989	0.046430585191038	0.276700256688613	0.874394137391506	7.63108046769979	0.00271580922080373	13853	47574000	20
20221122 122945	3181	736525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	179	1	1	1	0.1	50	0.5	FALSE	669989	0.0975888786107814	0.242023590418324	0.783272098117147	7.94372228693566	0.0143654479100443	15714	47212000	21
20221122 131042	3181	736525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1121	1	1	1	0.1	50	0.5	FALSE	669989	0.0351667335038136	0.367853389415583	0.781628166014369	8.01109719232746	0.00348713039999736	14813	47334000	22
20221122 133920	3181	736525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	984	1	1	1	0.1	50	0.5	FALSE	669989	0.0304098961858922	0.245476479016969	0.405682376246466	7.88122484701966	0.014874624023285	15065	48190000	23
20221122 150342	3181	736525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2189	1	1	1	0.1	50	0.5	FALSE	669989	0.0102137868706337	0.420733433712021	0.559391595678839	8.42017420197614	0.00845459908752223	15676	47848000	24
20221122 152135	3181	736525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	593	1	1	1	0.1	50	0.5	FALSE	669989	0.0657632009406929	0.247978225468048	0.280851847453285	7.17959245397542	0.0153126557663314	17343	46034000	25
20221122 160416	3181	736525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	985	1	1	1	0.1	50	0.5	FALSE	669989	0.0390512498598383	0.577549661850836	0.624661894305923	8.87595199834206	0.000673232591509568	17846	45348000	26
20221122 164850	3181	736525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1409	1	1	1	0.1	50	0.5	FALSE	669989	0.0244445081288437	0.587113585803891	0.857815584128373	7.06069843280595	0.0146697334837162	13879	48402000	27
20221122 174634	3181	736525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1465	1	1	1	0.1	50	0.5	FALSE	669989	0.0216311460172278	0.458752116302046	0.726100085624316	7.45126091281054	0.0109478136239952	15414	48052000	28
20221122 181835	3181	736525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	896	1	1	1	0.1	50	0.5	FALSE	669989	0.0244355246606581	0.305011665024439	0.4189348266172	8.39378404226569	0.0115795250953148	16479	47122000	29
20221122 191436	3181	736525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1578	1	1	1	0.1	50	0.5	FALSE	669989	0.0209665590814988	0.412372835575385	0.4068724409224	7.90639832345818	0.0121998429441019	15240	48160000	30
20221122 195034	3181	736525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	800	1	1	1	0.1	50	0.5	FALSE	669989	0.0235295703404834	0.420456965858847	0.993139061528349	8.06034433995193	0.00981581159308617	17107	47146000	31
20221122 203226	3181	736525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1062	1	1	1	0.1	50	0.5	FALSE	669989	0.0272874005973888	0.508515750557816	0.289590668791765	7.68949847390459	0.0182099712239301	15117	48646000	32
20221122 211318	3181	736525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1069	1	1	1	0.1	50	0.5	FALSE	669989	0.0188370762950053	0.579544638031343	0.384802558647562	7.97728586249971	0.0160067113958411	15595	47850000	33
20221122 215316	3181	736525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1073	1	1	1	0.1	50	0.5	FALSE	669989	0.0284214827778532	0.435984278617275	0.389026310665897	7.36153312491397	0.0176708328372987	15237	48406000	34
20221122 230316	3181	736525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2384	1	1	1	0.1	50	0.5	FALSE	669989	0.0270067447165817	0.583814557970871	0.620956489493981	7.33770946916969	0.00403579492526105	15771	47178000	35
20221123 001022	3181	736525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1555	1	1	1	0.1	50	0.5	FALSE	669989	0.0152589378624559	0.567637902872023	0.914228588337047	7.06249134168056	0.0194619077757553	14242	48796000	36
20221123 003359	3181	736525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	678	1	1	1	0.1	50	0.5	FALSE	669989	0.015008832601176	0.227721593287727	0.347081648557275	7.52915129540132	0.0192082931839455	16099	47242000	37
20221123 011243	3181	736525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	875	1	1	1	0.1	50	0.5	FALSE	669989	0.0156566204828216	0.507301850614962	0.247326208820544	7.43468762254175	0.0172945384227166	17020	47400000	38
20221123 021413	3181	736525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1545	1	1	1	0.1	50	0.5	FALSE	669989	0.0161510861473835	0.440603792139616	0.833593579767703	7.04612604134047	0.0197432526787355	13884	49352000	39
20221123 031706	3181	736525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1817	1	1	1	0.1	50	0.5	FALSE	669989	0.0187587943752163	0.390383255150995	0.999415343541124	7.07066038546655	0.015980463880372	13454	49092000	40
20221123 041649	3181	736525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1427	1	1	1	0.1	50	0.5	FALSE	669989	0.0112070281441284	0.43977097878842	0.879667781829136	6.94919063653106	0.0167354339065812	17125	46870000	41
20221123 055232	3181	736525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2730	1	1	1	0.1	50	0.5	FALSE	669989	0.0127521774647025	0.427095658423309	0.56996179582636	7.08589478116439	0.0127542462553735	17103	47474000	42
20221123 055956	3181	736525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	64	1	1	1	0.1	50	0.5	FALSE	669989	0.251999710493481	0.337698146177689	0.772120050992107	4.82548394589918	0.0234099751620972	14575	46370000	43
20221123 064354	3181	736525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1239	1	1	1	0.1	50	0.5	FALSE	669989	0.018486257153959	0.317927069785725	0.879816239358217	6.98675880786963	0.0214629103868613	13731	49258000	44
20221123 064950	3181	736525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	74	1	1	1	0.1	50	0.5	FALSE	669989	0.211040646514187	0.604905171347689	0.862478838990862	6.60406781043392	0.0181431918644133	17000	45280000	45
20221123 070531	3181	736525	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	496	1	1	1	0.1	50	0.5	FALSE	669989	0.194350364863761	0.668101052651974	0.503783096329938	7.74184037384926	0.000771961537583452	17261	42918000	46
