Feature	Gain	Cover	Frequency
azar_sampling	0.272345398727415	0.0188813060066254	0.00462898927586747
azar_under	0.108351507133286	0.0121394058383556	0.00283087591173569
ctrx_quarter_normalizado	0.0818362410856487	0.00432634532645743	0.00147537506800557
ctrx_quarter	0.0254558639931625	0.00311247327563303	0.00136472193790515
rf_013_023	0.0186343646766553	0.000321493594006672	8.29898475753133e-05
mcaja_ahorro_rank	0.0147280955796444	0.00240761678153736	0.00302451888941142
mpayroll_sobre_edad_rank	0.00957435207860688	0.00546675257276028	0.00139238522043026
cpayroll_trx	0.00898691444360486	0.00337380019625142	0.00074690862817782
mcuentas_saldo_rank	0.00842674401050994	0.00314509269255172	0.00307062436028659
ctrx_quarter_min6	0.00813819351279459	0.00160538183952607	0.00097743598255369
mtarjeta_visa_consumo_rank	0.00774611669164698	0.00192088414134862	0.00154914382140585
vm_status06_delta2	0.00654552377560593	0.00025810751962706	9.22109417503481e-05
mprestamos_personales_rank_ratiomax6	0.00520688437878701	0.00250139132597599	0.00152148053888074
ccomisiones_mantenimiento_ratioavg6	0.00456062491175638	0.00244940871407973	0.00204708290685773
mprestamos_personales_rank_ratioavg6	0.00408644456912127	0.00476057249452025	0.00196409305928241
ctrx_quarter_normalizado_min6	0.00407241725980698	0.000868970307173015	0.000691582063127611
ctarjeta_visa_transacciones_ratioavg6	0.00390877237669303	0.00402930990829371	0.00299685560688631
cproductos_ratioavg6	0.00344932385897817	0.00231031181823266	0.00116185786605439
rf_018_040	0.00331135798680405	0.000432243801191114	0.000202864071850766
ctrx_quarter_normalizado_ratioavg6	0.00326774022140973	0.00194369207098773	0.00237904229715898
ctrx_quarter_ratioavg6	0.00325808110468391	0.00130366507848267	0.0020655250952078
mpasivos_margen_rank	0.00324298282698905	0.00136127514762421	0.0027294438758103
ctarjeta_visa_transacciones	0.00292142221848448	0.00107807349451556	0.0014569328796555
ccomisiones_mantenimiento_tend6	0.00290825557103065	0.00226709038036848	0.000866782852453272
rf_039_049	0.0027082728744514	0.000111879315454193	0.000156758600975592
rf_029_031	0.00251286133842134	0.00065143547835049	0.000368843767001392
cdescubierto_preacordado_delta3	0.00249616668633465	0.00141880972281001	0.000405728143701532
mcuenta_corriente_rank_lag1	0.00249186715545672	0.00072996254012162	0.0014292695971304
mcuenta_corriente_rank_delta3	0.00242642128488398	0.00134952952242127	0.001853439929182
mpayroll_rank	0.00241088544577829	0.00254340974038561	0.00113419458352928
mcuentas_saldo_rank_ratiomax6	0.00240579504990748	0.00120651942751805	0.00326426733796232
mpayroll_rank_ratiomax6	0.00234624183094998	0.00367086747688316	0.0010327625476039
vm_mpagospesos_rank	0.00233601962120611	0.000868613935514976	0.000848340664103202
foto_mes	0.00228113129896244	0.00203940462851476	0.00282165481756065
cdescubierto_preacordado_delta2	0.00227218785065544	0.00103821125063301	0.00024896954272594
